Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
109,453,B3,B2,26.85,-94.90,1
109,453,B3,B4,13.48,-91.35,1
109,453,C1,B2,19.44,-97.17,1
109,453,B4,B2,-999.00,-999.00,0
110,1276,C1,B3,-999.00,-999.00,0
110,1276,C1,B4,34.41,-97.81,1
110,1276,B3,B2,-999.00,-999.00,0
110,1276,B3,B4,-999.00,-999.00,0
110,1276,C1,B2,19.25,-92.41,1
110,1276,B4,B2,-999.00,-999.00,0
111,868,C1,B3,-999.00,-999.00,0
111,868,C1,B4,32.89,-98.35,1
111,868,B3,B2,26.81,-97.83,1
111,868,B3,B4,13.45,-91.49,1
111,868,C1,B2,17.85,-94.60,1
111,868,B4,B2,-999.00,-999.00,0
112,432,C1,B3,-999.00,-999.00,0
112,432,C1,B4,31.84,-99.27,1
112,432,B3,B2,26.85,-96.86,1
112,432,B3,B4,13.44,-92.28,1
112,432,C1,B2,16.77,-82.73,1
112,432,B4,B2,-999.00,-999.00,0
113,541,C1,B3,-999.00,-999.00,0
113,541,C1,B4,30.59,-96.14,1
113,541,B3,B2,26.94,-96.76,1
113,541,B3,B4,13.48,-91.15,1
113,541,C1,B2,15.71,-79.49,1
113,541,B4,B2,-999.00,-999.00,0
114,977,C1,B3,-999.00,-999.00,0
114,977,C1,B4,29.75,-97.19,1
114,977,B3,B2,27.03,-95.01,1
114,977,B3,B4,13.47,-93.35,1
114,977,C1,B2,14.82,-96.92,1
114,977,B4,B2,-999.00,-999.00,0
115,432,C1,B3,-999.00,-999.00,0
115,432,C1,B4,28.78,-94.12,1
115,432,B3,B2,26.96,-97.88,1
115,432,B3,B4,13.50,-93.32,1
115,432,C1,B2,13.76,-79.70,1
115,432,B4,B2,-999.00,-999.00,0
116,1256,C1,B3,-999.00,-999.00,0
116,1256,C1,B4,-999.00,-999.00,0
116,1256,B3,B2,27.00,-95.49,1
116,1256,B3,B4,13.50,-93.46,1
116,1256,C1,B2,12.42,-92.81,1
116,1256,B4,B2,-999.00,-999.00,0
117,432,C1,B3,-999.00,-999.00,0
117,432,C1,B4,26.45,-98.46,1
117,432,B3,B2,27.03,-94.94,1
117,432,B3,B4,13.62,-90.84,1
117,432,C1,B2,11.57,-82.69,1
117,432,B4,B2,-999.00,-999.00,0
118,1256,C1,B3,-999.00,-999.00,0
118,1256,C1,B4,-999.00,-999.00,0
118,1256,B3,B2,26.98,-94.79,1
118,1256,B3,B4,13.52,-94.17,1
118,1256,C1,B2,10.18,-89.70,1
118,1256,B4,B2,-999.00,-999.00,0
119,669,C1,B3,-999.00,-999.00,0
119,669,C1,B4,24.27,-92.42,1
119,669,B3,B2,26.96,-95.24,1
119,669,B3,B4,-999.00,-999.00,0
119,669,C1,B2,9.75,-95.04,1
119,669,B4,B2,-999.00,-999.00,0
120,732,C1,B3,-999.00,-999.00,0
120,732,C1,B4,23.04,-95.81,1
120,732,B3,B2,27.02,-94.59,1
120,732,B3,B4,13.58,-90.66,1
120,732,C1,B2,8.59,-78.04,1
120,732,B4,B2,-999.00,-999.00,0
121,432,C1,B3,-999.00,-999.00,0
121,432,C1,B4,22.16,-98.90,1
121,432,B3,B2,26.96,-97.32,1
121,432,B3,B4,13.63,-90.90,1
121,432,C1,B2,7.67,-88.65,1
121,432,B4,B2,-999.00,-999.00,0
122,432,C1,B3,-999.00,-999.00,0
122,432,C1,B4,21.99,-91.00,1
122,432,B3,B2,26.97,-96.02,1
122,432,B3,B4,13.57,-91.45,1
122,432,C1,B2,7.84,-82.58,1
122,432,B4,B2,-999.00,-999.00,0
123,432,C1,B3,-999.00,-999.00,0
123,432,C1,B4,21.53,-101.98,1
123,432,B3,B2,26.97,-95.21,1
123,432,B3,B4,13.55,-90.64,1
123,432,C1,B2,7.37,-97.36,1
123,432,B4,B2,-999.00,-999.00,0
124,432,C1,B3,-999.00,-999.00,0
124,432,C1,B4,20.38,-96.78,1
124,432,B3,B2,26.91,-97.59,1
124,432,B3,B4,13.50,-90.18,1
124,432,C1,B2,5.97,-89.82,1
124,432,B4,B2,-999.00,-999.00,0
125,1058,C1,B3,-999.00,-999.00,0
125,1058,C1,B4,19.80,-99.21,1
125,1058,B3,B2,-999.00,-999.00,0
125,1058,B3,B4,-999.00,-999.00,0
125,1058,C1,B2,6.05,-75.45,1
125,1058,B4,B2,-999.00,-999.00,0
126,541,C1,B3,-999.00,-999.00,0
126,541,C1,B4,18.16,-97.28,1
126,541,B3,B2,26.87,-97.95,1
126,541,B3,B4,13.52,-90.35,1
126,541,C1,B2,4.45,-87.49,1
126,541,B4,B2,-999.00,-999.00,0
127,650,C1,B3,-999.00,-999.00,0
127,650,C1,B4,17.73,-97.94,1
127,650,B3,B2,26.83,-98.76,1
127,650,B3,B4,13.51,-90.36,1
127,650,C1,B2,5.11,-88.57,1
127,650,B4,B2,-999.00,-999.00,0
128,541,C1,B3,-999.00,-999.00,0
128,541,C1,B4,16.60,-97.53,1
128,541,B3,B2,27.02,-91.82,1
128,541,B3,B4,13.57,-91.75,1
128,541,C1,B2,4.19,-71.27,1
128,541,B4,B2,-999.00,-999.00,0
129,431,C1,B3,-999.00,-999.00,0
129,431,C1,B4,15.65,-100.47,1
129,431,B3,B2,26.96,-97.58,1
129,431,B3,B4,13.55,-90.23,1
129,431,C1,B2,3.77,-88.53,1
129,431,B4,B2,-999.00,-999.00,0
130,432,C1,B3,-999.00,-999.00,0
130,432,C1,B4,15.75,-91.16,1
130,432,B3,B2,26.85,-96.64,1
130,432,B3,B4,13.50,-92.80,1
130,432,C1,B2,4.28,-79.26,1
130,432,B4,B2,-999.00,-999.00,0
131,432,C1,B3,-999.00,-999.00,0
131,432,C1,B4,15.43,-99.36,1
131,432,B3,B2,26.94,-96.03,1
131,432,B3,B4,13.62,-90.65,1
131,432,C1,B2,4.24,-79.89,1
131,432,B4,B2,-999.00,-999.00,0
132,432,C1,B3,-999.00,-999.00,0
132,432,C1,B4,14.19,-92.37,1
132,432,B3,B2,26.98,-92.85,1
132,432,B3,B4,13.55,-92.40,1
132,432,C1,B2,3.74,-79.01,1
132,432,B4,B2,-999.00,-999.00,0
133,432,C1,B3,-999.00,-999.00,0
133,432,C1,B4,13.88,-94.32,1
133,432,B3,B2,26.83,-96.96,1
133,432,B3,B4,13.56,-91.67,1
133,432,C1,B2,4.35,-80.57,1
133,432,B4,B2,-999.00,-999.00,0
134,669,C1,B3,-999.00,-999.00,0
134,669,C1,B4,13.54,-91.96,1
134,669,B3,B2,26.91,-95.16,1
134,669,B3,B4,-999.00,-999.00,0
134,669,C1,B2,5.00,-98.23,1
134,669,B4,B2,-999.00,-999.00,0
135,841,C1,B3,-999.00,-999.00,0
135,841,C1,B4,11.94,-99.04,1
135,841,B3,B2,26.77,-98.33,1
135,841,B3,B4,13.46,-92.66,1
135,841,C1,B2,5.45,-90.86,1
135,841,B4,B2,-999.00,-999.00,0
136,432,C1,B3,-999.00,-999.00,0
136,432,C1,B4,11.37,-97.82,1
136,432,B3,B2,26.94,-96.32,1
136,432,B3,B4,13.48,-90.76,1
136,432,C1,B2,5.88,-94.27,1
136,432,B4,B2,-999.00,-999.00,0
137,541,C1,B3,-999.00,-999.00,0
137,541,C1,B4,10.33,-90.78,1
137,541,B3,B2,26.83,-96.33,1
137,541,B3,B4,13.59,-89.54,1
137,541,C1,B2,5.81,-91.75,1
